ConfAbbrev,Description,PowerFive
a_sun,Atlantic Sun Conference,0
a_ten,Atlantic 10 Conference,0
aac,American Athletic Conference,0
acc,Atlantic Coast Conference,1
aec,America East Conference,0
asc,American South Conference,0
awc,American West Conference,0
big_east,Big East Conference,0
big_eight,Big Eight Conference,1
big_sky,Big Sky Conference,0
big_south,Big South Conference,0
big_ten,Big Ten Conference,1
big_twelve,Big 12 Conference,1
big_west,Big West Conference,0
caa,Colonial Athletic Association,0
cusa,Conference USA,0
ecacm,Eastern Collegiate Athletic Conference Metro,0
ecacn,Eastern Collegiate Athletic Conference North,0
ecacs,Eastern Collegiate Athletic Conference South,0
ecc,East Coast Conference,0
gmwc,Great Midwest Conference,0
gsc,Gulf Star Conference,0
gwc,Great West Conference,0
horizon,Horizon League,0
ind,Independent,0
ivy,Ivy League,0
maac,Metro Atlantic Athletic Conference,0
mac,Mid-American Conference,0
meac,Mid-Eastern Athletic Conference,0
metro,Metropolitan Collegiate Athletic Conference,0
mid_cont,Mid-Continent Conference,0
mvc,Missouri Valley Conference,0
mw_city,Midwestern City Conference,0
mw_coll,Midwestern Collegiate Conference,0
mwc,Mountain West Conference,0
nac,North Atlantic Conference,0
nec,Northeast Conference,0
ovc,Ohio Valley Conference,0
pac_ten,Pacific-10 Conference,1
pac_twelve,Pacific-12 Conference,1
patriot,Patriot League,0
pcaa,Pacific Coast Athletic Association,0
sec,Southeastern Conference,1
southern,Southern Conference,0
southland,Southland Conference,0
summit,Summit League,0
sun_belt,Sun Belt Conference,0
swac,Southwest Athletic Conference,0
swc,Southwest Conference,0
wac,Western Athletic Conference,0
wcc,West Coast Conference,0
