TeamID,TeamName,Description,PowerFive,Wins,Loss, PF , PA , FGPct ,FGM,FGA, FG3Pct ,FGM3,FGA3, FTPct ,FTM,FTA, Reb , OReb , DReb , Ast , TO , Stl , Blk ,NET,POM,TRP
1211,Gonzaga,West Coast Conference,0,26,0, 92.12 , 69.12 , 55.09 ,888,1612, 36.47 ,190,521, 72.59 ,429,591, 35.50 , 8.23 , 27.27 , 18.31 , 11.92 , 8.31 , 2.85 ,1,1,1
1276,Michigan,Big Ten Conference,1,20,4, 76.25 , 65.38 , 48.37 ,669,1383, 38.68 ,181,468, 77.75 ,311,400, 35.17 , 8.08 , 27.08 , 15.46 , 10.67 , 4.42 , 4.29 ,4,2,6
1228,Illinois,Big Ten Conference,1,23,6, 81.41 , 69.24 , 49.85 ,851,1707, 37.60 ,197,524, 69.06 ,462,669, 37.72 , 9.45 , 28.28 , 16.31 , 12.76 , 5.72 , 2.83 ,3,3,3
1124,Baylor,Big 12 Conference,1,22,2, 84.38 , 66.42 , 49.31 ,746,1513, 41.82 ,248,593, 69.68 ,285,409, 33.71 , 11.33 , 22.38 , 17.04 , 12.17 , 8.96 , 3.75 ,2,4,2
1234,Iowa,Big Ten Conference,1,21,8, 83.76 , 71.93 , 46.90 ,863,1840, 38.61 ,283,733, 71.31 ,420,589, 38.00 , 10.17 , 27.83 , 19.00 , 9.14 , 5.59 , 4.52 ,6,5,4
1222,Houston,American Athletic Conference,0,23,3, 76.31 , 58.31 , 43.83 ,693,1581, 35.48 ,237,668, 74.28 ,361,486, 37.62 , 12.85 , 24.77 , 13.69 , 10.15 , 7.85 , 4.65 ,5,6,5
1326,Ohio St,Big Ten Conference,1,21,9, 77.33 , 70.97 , 45.96 ,790,1719, 36.48 ,247,677, 76.32 ,493,646, 33.17 , 8.33 , 24.83 , 13.03 , 9.93 , 4.60 , 3.43 ,8,7,9
1104,Alabama,Southeastern Conference,1,24,6, 79.57 , 69.77 , 43.06 ,834,1937, 35.09 ,320,912, 72.02 ,399,554, 36.37 , 10.40 , 25.97 , 14.13 , 13.83 , 8.63 , 4.33 ,7,8,7
1260,Loyola-Chicago,Missouri Valley Conference,0,22,4, 70.54 , 55.85 , 49.74 ,675,1357, 35.66 ,179,502, 73.32 ,305,416, 30.12 , 6.42 , 23.69 , 15.54 , 11.38 , 7.12 , 2.31 ,10,9,31
1458,Wisconsin,Big Ten Conference,1,17,12, 69.62 , 64.31 , 42.07 ,711,1690, 35.99 ,248,689, 76.70 ,349,455, 30.72 , 6.69 , 24.03 , 13.31 , 8.59 , 5.86 , 3.79 ,27,10,20
1438,Virginia,Atlantic Coast Conference,1,18,6, 68.63 , 60.46 , 48.03 ,608,1266, 38.13 ,204,535, 81.65 ,227,278, 29.54 , 5.54 , 24.00 , 13.96 , 8.58 , 4.92 , 4.33 ,12,11,18
1437,Villanova,Big East Conference,0,16,6, 75.55 , 67.14 , 44.97 ,581,1292, 35.24 ,203,576, 76.55 ,297,388, 31.23 , 7.86 , 23.36 , 15.27 , 8.45 , 5.32 , 1.45 ,17,12,8
1345,Purdue,Big Ten Conference,1,18,9, 71.11 , 66.30 , 45.12 ,689,1527, 33.51 ,192,573, 71.14 ,350,492, 34.52 , 9.67 , 24.85 , 14.30 , 11.89 , 5.19 , 3.41 ,22,13,22
1425,USC,Pacific-12 Conference,1,22,7, 74.76 , 65.10 , 46.71 ,788,1687, 34.79 ,183,526, 64.72 ,409,632, 36.31 , 10.48 , 25.83 , 13.66 , 12.10 , 4.79 , 5.24 ,19,14,21
1199,Florida St,Atlantic Coast Conference,1,16,6, 78.91 , 70.32 , 47.44 ,620,1307, 39.01 ,181,464, 73.77 ,315,427, 34.68 , 10.41 , 24.27 , 14.59 , 14.14 , 7.41 , 5.14 ,25,15,13
1163,Connecticut,Big East Conference,0,15,7, 72.55 , 64.64 , 43.92 ,581,1323, 33.64 ,148,440, 73.15 ,286,391, 35.00 , 11.41 , 23.59 , 13.05 , 11.18 , 6.18 , 5.27 ,30,16,23
1160,Colorado,Pacific-12 Conference,1,22,8, 73.03 , 63.27 , 45.45 ,774,1703, 36.72 ,224,610, 82.16 ,419,510, 31.80 , 8.07 , 23.73 , 13.23 , 10.27 , 5.30 , 2.77 ,15,17,19
1116,Arkansas,Southeastern Conference,1,22,6, 82.39 , 70.68 , 45.48 ,825,1814, 33.90 ,220,649, 73.69 ,437,593, 36.71 , 10.57 , 26.14 , 14.93 , 12.82 , 8.04 , 5.14 ,14,18,16
1166,Creighton,Big East Conference,0,20,8, 76.96 , 68.29 , 47.58 ,797,1675, 36.66 ,272,742, 64.22 ,289,450, 32.61 , 6.89 , 25.71 , 15.86 , 10.79 , 7.07 , 3.50 ,26,19,12
1361,San Diego St,Mountain West Conference,0,22,4, 73.73 , 61.31 , 45.35 ,668,1473, 37.46 ,218,582, 71.88 ,363,505, 31.88 , 8.19 , 23.69 , 13.81 , 10.77 , 8.12 , 2.85 ,18,20,26
1397,Tennessee,Southeastern Conference,1,18,8, 72.50 , 63.23 , 44.33 ,661,1491, 33.79 ,173,512, 74.57 ,390,523, 32.73 , 9.38 , 23.35 , 15.04 , 11.96 , 7.23 , 4.92 ,13,21,15
1242,Kansas,Big 12 Conference,1,19,8, 72.52 , 66.19 , 43.71 ,705,1613, 33.79 ,196,580, 71.54 ,352,492, 35.00 , 10.07 , 24.93 , 13.63 , 11.96 , 6.70 , 4.04 ,11,22,10
1403,Texas Tech,Big 12 Conference,1,17,10, 73.04 , 63.41 , 44.32 ,686,1548, 34.71 ,168,484, 71.05 ,432,608, 32.56 , 10.33 , 22.22 , 12.93 , 10.48 , 7.26 , 4.07 ,16,23,11
1140,BYU,West Coast Conference,0,19,6, 77.56 , 68.84 , 47.78 ,710,1486, 37.26 ,215,577, 73.61 ,304,413, 36.60 , 8.32 , 28.28 , 16.16 , 13.00 , 4.68 , 2.84 ,20,24,30
1382,St Bonaventure,Atlantic 10 Conference,0,16,4, 70.50 , 60.35 , 44.88 ,521,1161, 35.41 ,131,370, 73.37 ,237,323, 34.30 , 9.90 , 24.40 , 14.80 , 10.40 , 6.00 , 3.90 ,23,25,36
1400,Texas,Big 12 Conference,1,19,7, 75.23 , 68.81 , 45.39 ,684,1507, 35.66 ,225,631, 70.76 ,363,513, 35.77 , 9.58 , 26.19 , 13.04 , 13.77 , 6.50 , 3.92 ,21,26,14
1452,West Virginia,Big 12 Conference,1,18,9, 77.30 , 72.11 , 42.83 ,711,1660, 35.70 ,196,549, 71.71 ,469,654, 34.89 , 11.89 , 23.00 , 13.78 , 11.63 , 7.48 , 2.85 ,24,27,17
1314,North Carolina,Atlantic Coast Conference,1,18,10, 75.68 , 69.39 , 44.07 ,776,1761, 31.65 ,157,496, 66.78 ,410,614, 40.11 , 13.96 , 26.14 , 15.46 , 14.43 , 7.21 , 4.71 ,32,28,24
1261,LSU,Southeastern Conference,1,18,9, 82.11 , 75.33 , 46.34 ,784,1692, 35.03 ,220,628, 74.74 ,429,574, 35.33 , 10.26 , 25.07 , 12.30 , 11.30 , 8.07 , 2.78 ,28,29,25
1329,Oklahoma St,Big 12 Conference,1,20,8, 77.07 , 72.89 , 46.80 ,775,1656, 33.84 ,179,529, 71.26 ,429,602, 35.21 , 9.29 , 25.93 , 13.18 , 15.64 , 7.29 , 4.36 ,29,30,27
1268,Maryland,Big Ten Conference,1,15,13, 67.68 , 65.21 , 45.07 ,667,1480, 34.85 ,222,637, 70.33 ,339,482, 30.39 , 5.82 , 24.57 , 12.79 , 10.79 , 5.07 , 3.39 ,35,31,37
1210,Georgia Tech,Atlantic Coast Conference,1,17,8, 75.52 , 70.00 , 47.41 ,695,1466, 34.87 ,189,542, 72.71 ,309,425, 28.32 , 6.88 , 21.44 , 16.00 , 10.56 , 9.16 , 3.40 ,34,32,34
1181,Duke,Atlantic Coast Conference,1,13,11, 76.00 , 71.29 , 46.88 ,692,1476, 35.14 ,201,572, 69.08 ,239,346, 32.54 , 9.63 , 22.92 , 15.75 , 12.33 , 8.13 , 4.50 ,49,33,28
1353,Rutgers,Big Ten Conference,1,15,11, 69.96 , 68.23 , 45.08 ,696,1544, 31.09 ,157,505, 63.23 ,270,427, 33.08 , 8.38 , 24.69 , 13.81 , 10.81 , 7.81 , 5.23 ,38,34,35
1336,Penn St,Big Ten Conference,1,11,14, 72.64 , 73.00 , 40.78 ,637,1562, 33.79 ,221,654, 73.79 ,321,435, 33.24 , 10.04 , 23.20 , 13.16 , 11.00 , 7.92 , 2.36 ,42,35,48
1332,Oregon,Pacific-12 Conference,1,20,6, 74.38 , 67.42 , 47.23 ,715,1514, 37.91 ,218,575, 70.44 ,286,406, 30.69 , 8.19 , 22.50 , 13.31 , 11.00 , 7.46 , 3.62 ,33,36,32
1196,Florida,Southeastern Conference,1,14,9, 73.96 , 69.83 , 46.43 ,605,1303, 35.68 ,157,440, 75.74 ,334,441, 31.48 , 8.52 , 22.96 , 11.83 , 13.96 , 7.30 , 5.39 ,31,37,33
1272,Memphis,American Athletic Conference,0,16,8, 72.08 , 62.88 , 44.05 ,625,1419, 35.45 ,179,505, 62.06 ,301,485, 36.54 , 10.83 , 25.71 , 16.00 , 16.00 , 9.04 , 4.88 ,52,38,44
1328,Oklahoma,Big 12 Conference,1,15,10, 74.76 , 69.24 , 44.17 ,670,1517, 33.84 ,200,591, 74.43 ,329,442, 33.52 , 8.72 , 24.80 , 13.40 , 10.48 , 7.36 , 3.44 ,36,39,29
1429,Utah St,Mountain West Conference,0,19,8, 72.67 , 62.19 , 44.40 ,721,1624, 33.65 ,177,526, 71.76 ,343,478, 38.04 , 11.44 , 26.59 , 16.22 , 12.96 , 6.59 , 4.93 ,39,40,45
1393,Syracuse,Atlantic Coast Conference,1,16,9, 75.84 , 70.72 , 44.10 ,677,1535, 33.67 ,203,603, 78.47 ,339,432, 32.36 , 9.00 , 23.36 , 15.20 , 10.60 , 8.72 , 4.88 ,40,41,42
1155,Clemson,Atlantic Coast Conference,1,16,7, 65.30 , 62.00 , 42.80 ,541,1264, 34.59 ,192,555, 76.51 ,228,298, 30.04 , 7.43 , 22.61 , 13.26 , 11.91 , 6.09 , 2.87 ,41,42,39
